real_household_income,housing_subsidy,total_household,CPI,per_capita_gdp,interest_rate,work_age_pop,housing_price_ind,UNRATE,new_house_supp
63180.0,38.859,127586,2.2967112867851003,61621.0,4.55,206721600.0,205.326,3.8,6.5
63180.0,38.859,127586,2.3337233555462205,61620.0,4.6274999999999995,206674900.0,205.372,3.7,6.6
63180.0,38.859,127586,2.60626268747923,61619.0,4.83,206650800.0,205.367,3.8,7.2
63180.0,38.859,127586,3.7237636017007705,61709.0,4.866,206612000.0,205.105,3.8,6.4
63180.0,38.859,127586,2.9117770150544304,61799.0,4.6375,206774200.0,204.696,3.9,7.6
68700.0,40.185,128579.0,2.88960472562634,61889.0,4.464,206324000.0,204.201,4.0,7.0
68700.0,40.185,128579.0,2.97821762626109,62036.333333333336,4.37,206303400.0,204.429,3.8,6.3
68700.0,40.185,128579.0,3.2102411483228703,62183.666666666664,4.265,206117300.0,205.777,3.8,5.6
68700.0,40.185,128579.0,2.82946232379089,62331.0,4.1425,206174400.0,207.691,3.7,5.7
68700.0,40.185,128579.0,2.5585351456762795,62535.666666666664,4.072,206464300.0,209.354,3.6,6.5
68700.0,40.185,128579.0,2.96310499495169,62740.333333333336,3.8024999999999998,206542600.0,210.59,3.6,5.4
68700.0,40.185,128579.0,3.2008888117851098,62945.0,3.765,206385900.0,211.341,3.7,6.1
68700.0,40.185,128579.0,2.6257566309874503,63049.0,3.6159999999999997,206392800.0,211.699,3.6,5.5
68700.0,40.185,128579.0,2.5044028464577406,63153.0,3.605,206311600.0,211.878,3.5,5.4
68700.0,40.185,128579.0,2.67072730886815,63257.0,3.6879999999999997,206191800.0,211.971,3.6,5.3
68700.0,40.185,128579.0,3.2778581013518595,62949.0,3.6950000000000003,206205100.0,212.11,3.6,5.4
68700.0,40.185,128579.0,2.52541708194376,62641.0,3.72,206266700.0,212.241,3.6,5.5
68010.0,44.147,128451.0,3.73900290493838,62333.0,3.624,205741800.0,212.401,3.6,5.7
68010.0,44.147,128451.0,2.87314075414153,60683.0,3.4650000000000003,205642700.0,213.22,3.5,5.6
68010.0,44.147,128451.0,2.96611597454439,59033.0,3.45,205285700.0,215.197,4.4,6.4
68010.0,44.147,128451.0,2.0514104511105,57383.0,3.306,206838200.0,217.243,14.8,6.7
68010.0,44.147,128451.0,3.0423409595286204,58856.333333333336,3.2325,206841900.0,218.493,13.2,5.3
68010.0,44.147,128451.0,1.6303799442617,60329.666666666664,3.1625,205576600.0,219.82,11.0,4.0
68010.0,44.147,128451.0,4.12644301223046,61803.0,3.016,205379800.0,221.577,10.2,3.5
68010.0,44.147,128451.0,2.5642504572569904,62005.666666666664,2.935,205709700.0,224.057,8.4,3.3
68010.0,44.147,128451.0,1.09289511329196,62208.333333333336,2.89,206097500.0,226.81,7.8,3.5
68010.0,44.147,128451.0,1.7918610038630802,62411.0,2.834,205980900.0,229.823,6.8,3.3
68010.0,44.147,128451.0,1.36409877769683,62682.0,2.765,206188200.0,232.328,6.7,3.9
68010.0,44.147,128451.0,1.4012624303769898,62953.0,2.684,206149400.0,234.378,6.7,4.1
70780.0,45.299,129224.0,1.17126192381685,63224.0,2.735,205142000.0,236.45,6.4,4.1
70780.0,45.299,129224.0,2.79187179404496,63533.666666666664,2.81,205139500.0,239.23,6.2,4.8
70780.0,45.299,129224.0,2.45230811885555,63843.333333333336,3.0825,205101500.0,244.226,6.1,4.3
70780.0,45.299,129224.0,2.90626910167791,64153.0,3.06,205468000.0,249.832,6.1,4.6
70780.0,45.299,129224.0,3.25571552598809,64305.666666666664,2.9625,205665700.0,255.457,5.8,5.5
70780.0,45.299,129224.0,3.75085967160498,64458.333333333336,2.975,205415500.0,261.181,5.9,6.0
70780.0,45.299,129224.0,3.03001455558991,64611.0,2.868,205317400.0,265.519,5.4,6.0
70780.0,45.299,129224.0,4.0529206723710605,64956.666666666664,2.8425000000000002,205311600.0,268.795,5.1,6.5
70780.0,45.299,129224.0,4.93068961392651,65302.333333333336,2.9,205475500.0,271.449,4.7,6.2
70780.0,45.299,129224.0,6.58162335190871,65648.0,3.0675,205337300.0,273.659,4.5,6.7
70780.0,45.299,129224.0,5.921977524520989,65526.666666666664,3.0675,205361800.0,276.03,4.1,5.9
70780.0,45.299,129224.0,4.864243460542441,65405.333333333336,3.098,205323500.0,278.603,3.9,5.6
74580.0,48.021,131202.0,6.73598572134309,65284.0,3.4450000000000003,207063100.0,281.97700000000003,4.0,5.9
,,131202.0,6.375188165836019,65231.666666666664,3.7625,206989700.0,287.197,3.8,6.1
,,131202.0,6.22131864885611,65179.333333333336,4.172,206817900.0,295.011,3.6,6.9
,,131202.0,6.92388263628694,65127.0,4.9825,206929200.0,301.659,3.7,8.2
,,131202.0,7.588878771024411,65241.0,5.2299999999999995,207173600.0,306.434,3.6,8.1
,,131202.0,8.01045995451126,65355.0,5.522,207373200.0,308.23,3.6,9.9
,,131202.0,5.988326180119151,65469.0,5.4125,207456600.0,307.07,3.5,10.6
,,131202.0,8.04803616793306,65579.0,5.2225,207443000.0,303.627,3.6,8.6
,,131202.0,7.72921604833856,65689.0,6.112,207505000.0,300.45,3.5,9.9
,,131202.0,6.69366641779918,65799.0,6.9,207525000.0,298.67400000000004,3.6,9.7
,,131202.0,5.91661658760609,65898.0,6.805,207585700.0,296.861,3.6,9.2
,,131202.0,6.554622614768929,65997.0,6.364,207565400.0,294.348,3.5,8.6
,,131434.0,7.40659988402694,66096.0,6.2725,208308100.0,292.807,3.4,8.3
,,,,,5.85,,,,
,,,7.880495894967001,66183.0,6.2575,208344100.0,293.464,3.6,8.4
,,,4.62475076644842,66270.0,6.544,208191500.0,297.344,3.5,8.1
,,,5.186168013480691,66357.0,6.342499999999999,208299700.0,301.478,3.4,7.5
,,,4.83841780786021,66588.0,6.425,208534900.0,305.347,3.7,6.9
,,,4.39642524892616,66819.0,6.714,208635000.0,308.27,3.6,7.7
,,,2.49077584715136,67050.0,6.84,208737000.0,310.161,3.5,7.3
,,,4.35897232415277,67204.33333333333,7.072,208822900.0,311.526,3.8,7.9
,,,5.21792092786129,67358.66666666667,7.2,209000000.0,312.4,3.8,7.5
,,,3.49795816925966,67513.0,7.62,208959200.0,312.79,3.8,7.9
,,,5.1226149536403,67557.33333333333,7.442,209041500.0,311.969,3.7,8.8
,,,4.160125150684911,67601.66666666667,6.815,209118700.0,310.774,3.7,8.2
,,,6.54247711333595,67646.0,6.6425,208623100.0,310.521,3.7,8.3
,,,4.55815950379621,,6.776000000000001,208640600.0,312.632,3.9,8.9
,,,4.32734565378701,,6.82,208580800.0,316.646,3.8,8.5
,,,4.25132259006098,,6.9925,208530600.0,,3.9,9.1
,,,,,7.06,,,4.0,
,,,,,6.99,,,,
